rank,player,salary
330,Tristan Vukcevic,3256068
331,Asa Newell,3237480
332,DaRon Holmes,3218760
333,Kris Murray,3132000
334,Nique Clifford,3108120
335,Nassir Little,3107143
336,AJ Johnson,3090480
T337,Marvin Bagley,3080921
T337,D. Melton,3080921
T337,Landry Shamet,3080921
T337,Josh Okogie,3080921
T337,Drew Eubanks,3080921
T337,Bruce Brown,3080921
T337,Aaron Holiday,3080921
T344,Ajay Mitchell,3000000
T344,Kyle Filipowski,3000000
T344,J. Champagnie,3000000
347,Jase Richardson,2983320
348,Kyshawn George,2966760
349,Marcus Sasser,2886431
350,Ben Saraf,2884560
T351,Amir Coffey,2874436
T351,T. Antetokounmpo,2874436
T351,Javonte Green,2874436
T351,J. McLaughlin,2874436
355,Pacome Dadiet,2847600
356,Danny Wolf,2801280
357,Ben Sheppard,2790720
358,Hugo Gonzalez,2783880
359,Seth Curry,2777830
360,Liam McNeeley,2763960
361,Dillon Jones,2753280
362,Y. Niederhauser,2743800
363,Nick Smith,2710680
364,Brice Sensabaugh,2693460
365,Julian Strawther,2674148
366,T. Shannon,2674080
T367,Anthony Gill,2667947
T367,Jae'Sean Tate,2667947
370,Ryan Dunn,2657760
371,Kobe Brown,2654692
372,Isaiah Collier,2638200
373,B. Scheierman,2619000
374,Xavier Tillman,2546675
375,Cam Spencer,2537989
T376,Jock Landale,2461463
T376,Bones Hyland,2461463
T376,Lindy Waters III,2461463
T376,S. Mamukelashvili,2461463
T376,Jericho Sims,2461463
T376,Trendon Watford,2461463
T376,Luka Garza,2461463
383,Precious Achiuwa,2453285
T384,Josh Minott,2378870
T384,Dru Smith,2378870
T384,Collin Gillespie,2378870
T388,Vit Krejci,2349578
T388,Jordan Goodwin,2349578
T388,Jay Huff,2349578
T388,Neemias Queta,2349578
T393,V. Williams,2301587
T393,Keon Ellis,2301587
T393,AJ Green,2301587
T396,Chris Livingston,2296274
T396,Sion James,2296274
T396,Ryan Kalkbrenner,2296274
T399,Moussa Diabate,2270735
T399,Brandon Williams,2270735
T399,Scotty Pippen Jr,2270735
T402,Hunter Tyson,2221677
T402,T. Jackson-Davis,2221677
T402,Leonard Miller,2221677
T402,Julian Phillips,2221677
T402,Duop Reath,2221677
T402,Gui Santos,2221677
T402,Toumani Camara,2221677
T402,GG Jackson,2221677
T402,Jalen Pickett,2221677
T402,Jordan Walsh,2221677
T402,Andre Jackson Jr,2221677
T402,Craig Porter,2221677
T402,Rayan Rupert,2221677
T402,Jalen Wilson,2221677
T402,Mouhamed Gueye,2221677
417,JaVale McGee,2208856
T418,Tyrese Martin,2191897
T418,Tyler Kolek,2191897
T418,Jaylen Clark,2191897
421,Isaac Jones,2158057
T422,Nigel Hayes,2048494
T422,N'Faly Dante,2048494
T422,Keaton Wallace,2048494
T422,Justin Edwards,2048494
T426,Quinten Post,1955377
T426,Jamison Battle,1955377
T426,Bobi Klintman,1955377
T426,Karlo Matkovic,1955377
T426,Adem Bona,1955377
T426,Ariel Hukporti,1955377
T426,Johnny Furphy,1955377
T426,Tyler Smith,1955377
T426,Cam Christie,1955377
T426,Jaylen Wells,1955377
T426,Jonathan Mogbo,1955377
T426,Oso Ighodaro,1955377
T426,Jamal Shead,1955377
T426,Bronny James,1955377
T426,Pelle Larsson,1955377
T426,Keshad Johnson,1955377
442,Tony Bradley,1689353
443,Jamir Watkins,1546981
444,Micah Potter,1527805
445,Chaz Lanier,1372870
T446,Mohamed Diawara,1272870
T446,Will Richard,1272870
T446,Nikola Djurisic,1272870
T446,Kam Jones,1272870
T446,Adou Thiero,1272870
T446,Rasheer Fleming,1272870
T446,Micah Peavy,1272870
T446,Noah Penda,1272870
T446,Maxime Raynaud,1272870
T446,Johni Broome,1272870
T446,Tyrese Proctor,1272870
457,Dylan Cardwell,1218461
458,Pat Spencer,1211689
462,Cameron Payne,1127841
T463,Caleb Houstan,1117089
T463,Jabari Walker,1117089
465,Bryce McGowens,1106635
466,Jordan Miller,1101910
467,Pete Nance,1095439
468,Nae'qwan Tomlin,1084904
469,Sidy Cissoko,1081951
470,Quenton Jackson,1022998
471,Spencer Jones,1016457
472,O. Prosper,1002360
473,James Wiseman,1000000
476,Taj Gibson,960753
479,Jamaree Bouyea,878375
481,Amari Williams,837589
482,Kobe Sanders,829383
485,Jamal Cain,813908
487,Myron Gardner,784302
488,Killian Hayes,751318
489,Ryan Nembhard,743320
490,EJ Liddell,706898
491,Max Shulga,681847
492,Vasilije Micic,666667
493,AJ Lawson,660121
494,Ron Harper Jr,657090
495,Jahmir Young,656323
T497,Javonte Cooke,636435
T497,Chris Youngblood,636435
T497,Johnny Juzang,636435
T497,Orlando Robinson,636435
T497,Miles Kelly,636435
T497,Luke Travers,636435
T497,Tamar Bates,636435
T533,Emanuel Miller,636434
T533,KJ Simpson,636434
539,JD Davison,625726
540,J. Robinson-Earl,608292
544,Mamadi Diakite,464050
545,Garrison Mathews,462553
548,Ricky Rubio,424672
551,Stanley Umude,363537
552,Mo Bamba,354128
557,Tolu Smith,336782
560,Monte Morris,321184
T561,PJ Hall,318218
T561,Eli Ndiaye,318218
T565,Omer Yurtseven,282926
T565,Charles Bassey,282926
569,Christian Koloko,273434
570,Didi Louzada,268032
572,DeJon Jarreau,263940
T574,Tosan Evbuomwan,254154
T574,Mark Sears,254154
576,Trentyn Flowers,250937
577,Richaun Holmes,250000
579,Kennedy Chandler,235460
581,Patrick Baldwin,222017
582,Bez Mbeng,219459
T584,Buddy Boeheim,212331
586,Malachi Smith,212144
T587,Drew Peterson,209114
T587,Hunter Sallis,209114
592,Markelle Fultz,188932
593,Jacob Toppin,180160
594,Mac McClung,177731
T598,Riley Minix,170508
602,Dalano Banton,169756
T603,Darius Brown,167291
T603,Norchad Omier,167291
T605,DaQuan Jeffries,165197
T605,Cody Martin,165197
T609,Alex Toohey,157640
T611,Skal Labissiere,153330
615,Tyler Burton,146306
616,Jahmyl Telfort,144771
626,Alondes Williams,136717
T627,Jackson Rowe,135120
T632,RayJ Dennis,131903
636,Tre Scott,129503
641,Adama-Alpha Bal,117045
644,Maxwell Lewis,100000
645,Lucas Williamson,95099
T647,Steven Crowl,85300
T647,Yuri Collins,85300
T647,David Muoka,85300
T647,RJ Luis Jr,85300
T647,Colby Jones,85300
T647,David Roddy,85300
T647,Lester Quinones,85300
T647,Seth Lundy,85300
T647,Jaylen Martin,85300
T647,Zyon Pullin,85300
T657,Toby Okani,73153
T657,Andersson Garcia,73153
T657,Grant Nelson,73153
T657,Kadary Richmond,73153
T657,Lawson Lovering,73153
T657,Keshon Gilbert,73153
T657,Gabe McGlothan,73153
664,Jaden Springer,70732
666,Tyreke Key,51207
667,Mouhamadou Gueye,47092
668,Malik Williams,43870
669,Kyle Mangas,26322
670,Hayden Gray,14631
